SERIAL NUMBER,Do you agree to take part in this interview? ,Age (in years) ,Gender ,Education ,Residence Status ,Employment status ,Household financial situation,Years lived in this community,How often do you worry about the following?  [Being robbed in your home ],How often do you worry about the following?  [Being robbed or attacked on the street near your home ],"In the last month, how often have you [Avoided going out during daytime because of fear ]","In the last month, how often have you [Avoided going out at night because of fear ]","In the last month, how often have you [Avoided certain streets or routes ]", How likely do you think the following will happen to you in the next 12 months?  [Your house will be broken into ], How likely do you think the following will happen to you in the next 12 months?  [You will be robbed or attacked in the street ],How safe do you feel ?  [Inside your home at night ],How safe do you feel ?  [?On the street near your home at night ],To what extent do you agree? [The police do a good job of keeping people safe ],To what extent do you agree? [?The police treat people fairly ],To what extent do you agree? [?I can rely on the police when there is a problem ],To what extent do you agree? [The local vigilante or community guards keep people safe ],"In the past 12 months, has anyone attempted to break into your home, or successfully burgled your home? ","If Yes, how many times did this happen in the past 12 months? 
?",Have you or anyone in your household had something stolen,"if yes, how many times did this happen in the past 12 months","In the past 12 months, have you been physically attacked or assaulted? 
?","If Yes, how many times did this happen in the past 12 months? ",Has a close friend or family member experienced any of these in the last 12 months? ,"If Yes, how many times did this happen in the past 12 months?  2",How often do you hear about crime happening to people you know? ,Did you report the most recent incident to any authority or security actor? ,Who did you report it to? (Tick all that apply) ,"If you did not report it, why? (Tick all that apply) ",How much of a problem are the following in your community?  [Poor street lighting ],How much of a problem are the following in your community?  [Abandoned or unfinished buildings ],How much of a problem are the following in your community?  [Groups of young men hanging around],How much of a problem are the following in your community?  [Open drainage or flooding],Agreement level on community trust:  [People in this community can be trusted],Agreement level on community trust:  [People here are willing to help each other ],"Agreement level on community trust:  [?If there is trouble, people will intervene]",Street Name 2,Is there a functioning streetlight near the respondent’s house?,Is there a shop or commercial outlet attached to the respondent’s house? ,Type of street ,Is there a footpath beside or behind the respondent’s house linking to another street? ,Are most houses on this street fenced? ,General condition of buildings on this street ,Visible signs of disorder (tick all that apply) ,Presence of informal security structures,Proximity (within ~200m) to key activity nodes (tick all that apply) ,Overall activity level on the street at the time of interview 
id,consent,age,gender,education,residence,employment,income,years_resident,worry_home,worry_street,avoid_day,avoid_night,avoid_route,risk_home,risk_street,safe_home,safe_street,police_safe,police_fair,police_rely,vigilante_safe,burglary,burglary_count,theft,theft_count,assault,assault_count,vicarious_victim,vicarious_count,crime_heard,reported,reported_to,nonreport_reason,light_prob,building_prob,gang_prob,drainage_prob,trust_neigh,help_neigh,intervene,street_name_obs,streetlight_obs,shop_attached,street_type,footpath,fenced,building_cond,disorder_obs,informal_security,activity_node,activity_level
262,Yes,25,Male,Tertiary,Tenant,Employed,Struggling,25,1,1,1,1,1,2,2,5,5,4,4,4,4,Yes,,Yes,Once,No,,No,,Sometimes,Yes,Police,,1,1,1,1,4,4,5,NA,Yes,Yes,Residential Area,Yes,Yes,Good,Open drainage,Community gate,Bars/viewing centres,Moderate
263,Yes,58,Male,Primary,Tenant,Self-Employed,Just getting by,20,1,1,1,1,1,1,1,5,5,1,1,1,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,1,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,Litter,Community gate,Bars/viewing centres,Moderate
264,Yes,35,Female,Tertiary,Tenant,Self-Employed,Struggling,20,2,2,1,1,1,1,1,5,4,3,3,3,4,No,,No,,No,,No,,Sometimes,,,,2,2,1,1,4,4,5,NA,No,Yes,Residential Area,Yes,Yes,Fair,"Litter, Open drainage","Community gate,Vigilante Post",Bars/viewing centres,Moderate
265,Yes,44,Male,Tertiary,Tenant,Employed,Comfortable,16,1,1,4,4,2,2,1,3,4,5,5,5,5,No,,Yes,,No,,No,,Sometimes,,,,2,2,2,2,4,4,3,NA,No,Yes,Close,Yes,Mixed,Fair,"Litter, Open drainage",Community gate ,Bars/viewing centres,Moderate
266,Yes,29,Male,Secondary,Tenant,Self-Employed,Comfortable,29,1,1,1,1,1,2,2,4,4,4,4,4,5,No,,No,,No,,No,,Sometimes,,,,3,3,3,1,4,5,5,NA,No,Yes,Close,Yes,Yes,Good,"Litter, Open drainage",Community gate ,Bars/viewing centres,Quiet
267,Yes,31,Female,Secondary,Tenant,Self-Employed,Just getting by,5,3,2,4,4,4,3,1,4,4,4,4,4,4,No,,No,,No,,No,,Sometimes,,,,2,2,2,2,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bars/viewing centres,Busy
268,Yes,25,Male,Secondary,Tenant,Self-Employed,Just getting by,25,2,2,3,3,2,2,2,4,5,4,4,4,4,No,,No,,No,,No,,Rarely,,,,2,1,1,2,4,4,1,NA,No,Yes,Alleyway,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bars/viewing centres,Moderate
269,Yes,70,Male,Tertiary,Tenant,Unemployed,Struggling,30,1,1,1,1,1,2,2,4,5,4,4,4,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,2,4,4,4,NA,No,Yes,Alleyway,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bars/viewing centres,Moderate
270,Yes,23,Male,Secondary,Tenant,Unemployed,Struggling,23,3,3,2,2,1,2,2,4,4,3,3,3,5,No,,No,,No,,No,,Sometimes,,,,2,3,2,2,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bars/viewing centres,Moderate
271,Yes,46,Male,Tertiary,Tenant,Self-Employed,Comfortable,20,3,2,1,1,1,1,1,2,1,2,1,1,5,No,,No,,Yes,Once,No,,Sometimes,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Yes,Good,Litter,None,None,Quiet
272,Yes,32,Female,Tertiary,Tenant,Unemployed,Struggling,5,2,2,3,1,1,2,2,1,1,2,2,2,4,No,,No,,No,,No,,Sometimes,,,,2,2,2,2,2,2,5,NA,Yes,Yes,Residential Area,Yes,Yes,Good,None,None,Bars/viewing centres,Moderate
273,Yes,28,Female,Secondary,Tenant,Unemployed,Just getting by,2,2,3,2,2,1,3,3,4,5,2,2,2,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,2,4,5,5,NA,Yes,Yes,Residential Area,Yes,Yes,Good,Open drainage,Community gate ,Bus stop/motor park,Moderate
274,Yes,50,Male,Secondary,Tenant,Self-Employed,Comfortable,30,2,2,1,1,1,2,2,4,4,3,2,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bars/viewing centres,Moderate
275,Yes,60,Female,Secondary,Landlord,Self-Employed,Comfortable,20,1,1,1,1,1,1,1,1,1,3,3,3,5,Yes,,Yes,Once,No,,No,,Sometimes,Yes,Vigilante/neighbourhood watch,,2,2,2,2,2,2,2,NA,Yes,No,Close,Yes,Mixed,Fair,"Litter, Open drainage","Community gate,Vigilante Post",None,Moderate
276,Yes,37,Male,None,Tenant,Self-Employed,Comfortable,8,2,2,2,2,2,1,1,5,5,1,1,1,3,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,Not sure,Yes,Residential Area,Yes,Mixed,Fair,Litter,Community gate ,Bars/viewing centres,Moderate
277,Yes,20,Female,Secondary,Tenant,Employed,Struggling,20,1,1,1,1,1,1,1,5,5,1,1,1,2,No,,No,,No,,No,,Rarely,,,,4,1,4,2,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Fair,Litter,Community gate ,Bars/viewing centres,Moderate
278,Yes,60,Male,Tertiary,Landlord,Employed,Comfortable,30,1,1,1,1,1,1,1,5,5,3,3,3,4,No,,No,,No,,No,,Rarely,,,,1,1,2,2,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Fair,Litter,Community gate ,Bars/viewing centres,Moderate
279,Yes,42,Male,Secondary,Tenant,Self-Employed,Comfortable,30,1,1,1,1,1,1,1,5,5,2,5,5,2,No,,No,,No,,No,,Rarely,,,,3,1,1,3,4,1,1,NA,Not sure,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,Bars/viewing centres,Moderate
280,Yes,40,Female,Tertiary,Tenant,Self-Employed,Just getting by,20,1,1,1,1,1,4,4,1,1,1,1,1,4,No,,Yes,Once,No,,No,,Rarely,,,,3,3,3,3,4,3,1,NA,Not sure,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,Bars/viewing centres,Moderate
281,Yes,43,Male,Primary,Tenant,Self-Employed,Just getting by,33,1,1,1,1,1,1,1,5,5,2,2,5,5,No,,No,,No,,No,,Rarely,,,,1,1,1,3,4,4,5,NA,No,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bus stop/motor park,Moderate
282,Yes,22,Male,Secondary,Tenant,Unemployed,Just getting by,22,1,1,1,4,2,2,2,4,4,1,1,1,4,No,,No,,No,,No,,Rarely,,,,2,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bus stop/motor park,Moderate
283,Yes,39,Male,Secondary,Tenant,Employed,Just getting by,30,1,1,1,1,1,1,5,5,5,5,5,5,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,None,Community gate ,Major Market ,Moderate
284,Yes,31,Male,Tertiary,Tenant,Self-Employed,Just getting by,15,1,1,2,2,3,2,2,3,4,2,2,3,4,No,,Yes,Once,No,,No,,Sometimes,,,,1,1,4,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,None,Community gate ,None,Busy
285,Yes,30,Male,Secondary,Tenant,Self-Employed,Comfortable,30,2,1,3,3,1,2,2,5,5,4,4,4,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,4,4,4,NA,No,No,Residential Area,Yes,No,Fair,Litter,None,Bus stop/motor park,Moderate
286,Yes,32,Male,Secondary,Tenant,Self-Employed,Just getting by,2,1,1,1,1,1,2,2,5,5,5,5,5,5,No,,No,,No,,No,,Sometimes,,,,1,1,4,1,5,5,5,NA,Yes,Yes,Major Road,Yes,Mixed,Good,Litter,None,Bars/viewing centres,Busy
287,Yes,26,Female,Tertiary,Tenant,Student,Just getting by,26,1,1,1,1,1,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,Yes,Yes,Major Road,Yes,Mixed,Good,Litter,None,Bars/viewing centres,Busy
288,Yes,20,Male,Secondary,Tenant,Employed,Comfortable,20,1,1,1,1,1,1,1,4,4,5,5,5,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,Yes,Yes,Major Road,Yes,Mixed,Fair,None,None,Bus stop/motor park,Busy
289,Yes,25,Female,Tertiary,Tenant,Student,Just getting by,10,1,1,1,1,1,1,1,5,5,2,2,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,3,5,5,5,NA,Yes,Yes,Major Road,Yes,Mixed,Fair,None,None,Bus stop/motor park,Busy
290,Yes,53,Male,Primary,Tenant,Self-Employed,Struggling,20,1,1,1,1,1,1,1,4,4,2,2,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,3,5,5,5,NA,Yes,Yes,Major Road,Not sure,Mixed,Fair,Open drainage,None,Bars/viewing centres,Moderate
291,Yes,32,Male,Secondary,Tenant,Self-Employed,Just getting by,10,1,1,1,1,1,1,1,4,4,2,2,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,3,5,5,5,NA,Yes,Yes,Major Road,Not sure,Mixed,Fair,Open drainage,None,Bars/viewing centres,Moderate
292,Yes,45,Male,Secondary,Tenant,Self-Employed,Just getting by,15,1,1,1,1,1,2,2,4,4,4,4,4,4,No,,No,,No,,No,,Never,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,None,Bars/viewing centres,Moderate
293,Yes,20,Female,Secondary,Tenant,Self-Employed,Struggling,1,1,1,1,1,1,1,1,5,3,4,4,4,3,No,,No,,No,,No,,Sometimes,,,,1,1,3,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,None,Bars/viewing centres,Moderate
294,Yes,60,Male,Secondary,Tenant,Self-Employed,Comfortable,1,1,1,1,1,1,1,1,5,5,4,4,4,1,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,None,Bars/viewing centres,Moderate
295,Yes,43,Female,Secondary,Tenant,Self-Employed,Comfortable,6,1,1,1,1,1,2,2,5,5,1,1,1,3,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,"Open drainage,Abandoned/ Uncompleted Building",None,Bus stop/motor park,Moderate
296,Yes,25,Female,Secondary,Tenant,Unemployed,Struggling,15,1,1,1,1,1,1,1,5,5,3,3,3,2,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,"Open drainage,Abandoned/ Uncompleted Building",None,Bus stop/motor park,Moderate
297,Yes,71,Female,Tertiary,Landlord,Employed,Comfortable,50,1,1,1,1,1,1,1,4,4,2,2,2,3,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,"Open drainage,Abandoned/ Uncompleted Building",None,Bus stop/motor park,Moderate
298,Yes,56,Female,Secondary,Tenant,Self-Employed,Comfortable,56,1,1,1,1,1,1,1,5,5,2,2,2,5,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,4,4,4,NA,Yes,No,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate ,Bus stop/motor park,Quiet
299,Yes,27,Male,Tertiary,Tenant,Unemployed,Just getting by,8,1,1,1,1,1,1,1,5,5,1,1,1,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,No,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate ,None,Quiet
300,Yes,26,Male,Secondary,Tenant,Student,Just getting by,12,1,1,1,1,1,1,1,2,2,4,4,4,4,Yes,,Yes,Once,No,,No,,Sometimes,Yes,Police,,1,1,4,1,4,4,4,NA,Yes,Yes,Residential Area,Not sure,Mixed,Fair,Open drainage,Community gate ,Bars/viewing centres,Moderate
301,Yes,38,Male,Primary,Tenant,Self-Employed,Just getting by,17,1,1,1,1,1,2,2,4,4,1,1,1,4,No,,No,,No,,No,,Rarely,,,,1,1,4,1,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate ,Bars/viewing centres,Moderate
302,Yes,27,Male,None,Tenant,Unemployed,Just getting by,1,1,1,1,1,1,1,1,1,1,1,1,1,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,No,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,None,Moderate
303,Yes,72,Female,Primary,Landlord,Self-Employed,Comfortable,30,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,NA,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bars/viewing centres,Quiet
304,Yes,65,Male,Secondary,Tenant,Self-Employed,Just getting by,35,1,1,1,1,1,1,1,4,4,4,4,4,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bars/viewing centres,Quiet
305,Yes,33,Male,Tertiary,Tenant,Employed,Just getting by,15,1,1,1,1,1,1,1,5,5,2,2,2,2,No,,Yes,Once,No,,No,,Sometimes,Yes,Community leader,,1,2,1,1,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bars/viewing centres,Quiet
306,Yes,20,Female,Secondary,Tenant,Employed,Just getting by,20,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,None,Moderate
307,Yes,63,Male,Tertiary,Tenant,Self-Employed,Comfortable,30,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Not sure,No,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,None,Moderate
308,Yes,44,Male,Secondary,Tenant,Self-Employed,Just getting by,25,1,1,1,1,1,1,1,4,5,2,2,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bus stop/motor park,Moderate
309,Yes,37,Male,Primary,Tenant,Self-Employed,Struggling,5,1,1,1,1,1,2,2,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bus stop/motor park,Moderate
310,Yes,27,Male,Tertiary,Tenant,Student,Struggling,15,1,1,1,1,1,1,1,1,1,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,1,NA,Yes,No,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,None,Moderate
311,Yes,28,Male,Tertiary,Tenant,Student,Just getting by,6,1,1,1,1,1,4,4,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,4,2,4,4,1,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage,Abandoned/ Uncompleted Building",Community gate ,None,Moderate
312,Yes,22,Male,Tertiary,Tenant,Self-Employed,Just getting by,1,1,1,1,1,1,1,1,4,4,2,2,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,No,Alleyway,Yes,Yes,Good,"Litter, Open drainage",None,None,Moderate
313,Yes,30,Male,Tertiary,Tenant,Unemployed,Just getting by,2,1,1,1,1,1,1,1,4,4,1,1,1,1,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,No,No,Residential Area,Yes,Mixed,Good,Open drainage,None,Bus stop/motor park,Moderate
314,Yes,48,Female,Secondary,Tenant,Self-Employed,Just getting by,19,1,1,1,1,1,2,2,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bus stop/motor park,Moderate
315,Yes,31,Male,Tertiary,Tenant,Employed,Comfortable,3,1,1,1,1,1,2,2,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate ,Bus stop/motor park,Moderate
316,Yes,40,Female,Secondary,Tenant,Self-Employed,Comfortable,10,1,1,1,1,1,2,2,4,4,1,1,1,4,No,,No,,No,,No,,Never,,,,1,1,3,2,4,4,4,NA,No,No,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,None,Moderate
317,Yes,56,Male,Secondary,Tenant,Self-Employed,Comfortable,50,1,1,1,1,1,4,4,4,4,4,4,4,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,4,4,4,NA,Not sure,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,Bus stop/motor park,Moderate
318,Yes,57,Male,Primary,Tenant,Self-Employed,Comfortable,31,1,1,1,1,1,2,1,5,5,5,5,5,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,Bus stop/motor park,Moderate
319,Yes,46,Female,Secondary,Tenant,Self-Employed,Comfortable,25,1,1,1,1,1,4,4,4,4,4,4,4,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,Bus stop/motor park,Moderate
320,Yes,62,Female,Tertiary,Tenant,Employed,Comfortable,25,1,1,1,1,1,1,1,4,4,5,5,5,1,No,,No,,No,,No,,Rarely,,,,4,2,2,3,3,4,4,NA,No,No,Close,No,Mixed,Fair,Open drainage,None,None,Quiet
321,Yes,27,Male,Tertiary,Tenant,Self-Employed,Comfortable,3,1,1,1,1,1,1,5,5,5,3,3,4,1,No,,No,,No,,No,,Rarely,,,,1,1,1,1,3,3,3,NA,Yes,Yes,Residential Area,Not sure,Mixed,Good,Litter,None,Bus stop/motor park,Busy
322,Yes,35,Male,Tertiary,Tenant,Unemployed,Struggling,16,1,2,1,1,1,1,1,5,4,1,1,1,5,No,,No,,No,,No,,Rarely,,,,4,1,1,2,4,4,4,NA,No,No,Residential Area,No,Yes,Fair,Open drainage,Community gate ,Major Market,Moderate
323,Yes,38,Female,Tertiary,Tenant,Self-Employed,Comfortable,4,1,1,1,1,3,1,2,5,4,5,5,5,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,Yes,Yes,Residential Area,No,Mixed,Good,None,Community gate,None,Quiet
324,Yes,57,Female,Secondary,Landlord,Self-Employed,Comfortable,1,1,1,1,1,1,1,1,5,5,3,4,2,5,No,,No,,No,,No,,Sometimes,,,,4,1,1,1,5,5,5,NA,No,Yes,Residential Area,Yes,Yes,Good,None,Community gate,Bars/viewing centres,Quiet
325,Yes,45,Female,Secondary,Tenant,Self-Employed,Just getting by,14,1,1,1,1,1,1,1,5,5,2,1,1,4,No,,No,,No,,No,,Rarely,,,,4,1,1,3,5,5,5,NA,No,Yes,Residential Area,No,Yes,Good,Open drainage,Community gate,Bars/viewing centres,Quiet
326,Yes,21,Male,Tertiary,Tenant,Student,Just getting by,21,1,1,1,1,1,1,1,5,5,2,2,2,4,No,,Yes,Once,No,,No,,Sometimes,,,,2,1,1,1,4,4,4,NA,No,No,Alleyway,Yes,Mixed,Fair,Litter,None,Bars/viewing centres,Quiet
327,Yes,40,Female,Tertiary,Tenant,Self-Employed,Comfortable,6,1,1,1,1,1,1,1,5,4,4,4,4,4,No,,No,,No,,Yes,Twice,Sometimes,,,,3,1,1,2,4,5,5,NA,No,Yes,Alleyway,No,Mixed,Fair,"Litter, Open drainage",None,Bars/viewing centres,Quiet
328,Yes,32,Female,Secondary,Tenant,Unemployed,Struggling,20,1,1,1,1,1,1,1,5,5,3,3,4,5,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,4,4,NA,Not sure,Yes,Alleyway,No,Mixed,Fair,Litter,None,Bars/viewing centres,Moderate
329,Yes,42,Male,Tertiary,Landlord,Employed,Comfortable,10,1,1,1,1,1,1,1,5,5,5,5,5,1,No,,No,,No,,No,,Rarely,,,,2,1,1,3,3,3,4,NA,No,Yes,Alleyway,Yes,Mixed,Fair,"Litter, Open drainage",None,None,Quiet
330,Yes,55,Female,Secondary,Tenant,Self-Employed,Comfortable,18,1,1,1,1,1,1,1,5,4,3,3,3,5,No,,No,,No,,No,,Never,,,,1,4,1,1,5,5,5,NA,No,Yes,Footpath,No,Mixed,Poor,"Litter,Abandoned/ Uncompleted Building",None,None,Quiet
331,Yes,35,Male,Tertiary,Tenant,Self-Employed,Just getting by,7,1,1,1,1,1,1,1,5,5,2,2,2,4,No,,Yes,Once,No,,No,,Rarely,,,,4,1,2,3,4,5,5,NA,No,Yes,Major Road,No,No,Poor,"Litter, Open drainage",None,Bars/viewing centres,Busy
332,Yes,42,Female,Secondary,Tenant,Self-Employed,Struggling,1,1,1,1,1,1,1,1,5,5,4,4,5,5,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,5,5,5,NA,No,Yes,Residential Area,Not sure,Mixed,Fair,None,Community gate,Bars/viewing centres,Quiet
333,Yes,45,Female,Tertiary,Tenant,Self-Employed,Comfortable,8,1,1,1,1,1,1,1,4,4,3,4,1,3,No,,No,,No,,No,,Never,,,,1,2,3,1,3,3,3,NA,Yes,Yes,Residential Area,No,Mixed,Fair,Open drainage,None,None,Moderate
334,Yes,28,Female,Secondary,Tenant,Student,Just getting by,16,1,1,1,1,1,1,1,5,4,2,2,2,4,No,,No,,No,,No,,Sometimes,,,,2,1,1,1,3,3,3,NA,Not sure,Yes,Major Road,No,Yes,Good,None,Community gate,None,Quiet
335,Yes,25,Female,Tertiary,Tenant,Self-Employed,Struggling,3,1,1,1,1,1,1,1,5,5,5,5,5,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,5,5,NA,No,No,Residential Area,Not sure,Mixed,Fair,"Litter, Open drainage",None,None,Quiet
336,Yes,48,Male,Secondary,Landlord,Self-Employed,Comfortable,48,1,1,1,1,1,1,1,5,5,5,4,5,3,No,,Yes,Once,No,,No,,Rarely,,,,4,1,1,1,4,3,3,NA,No,Yes,Residential Area,No,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Moderate
337,Yes,38,Female,Tertiary,Tenant,Unemployed,Struggling,8,1,1,1,2,1,1,1,5,5,4,3,3,3,No,,No,,No,,No,,Rarely,,,,4,1,1,3,4,5,5,NA,No,Yes,Residential Area,Not sure,Mixed,Fair,Open drainage,None,Bus stop/motor park,Moderate
338,Yes,40,Female,Tertiary,Tenant,Unemployed,Just getting by,8,1,1,1,2,1,1,1,5,5,1,1,1,1,No,,No,,No,,Yes,Once,Sometimes,,,,4,1,1,1,5,5,5,NA,No,Yes,Footpath,No,No,Poor,"Litter, Open drainage",None,None,Moderate
339,Yes,25,Female,Tertiary,Tenant,Self-Employed,Comfortable,2,1,1,1,1,1,1,1,5,5,3,1,1,3,No,,No,,No,,No,,Rarely,,,,1,1,1,1,3,5,3,NA,No,Yes,Residential Area,Not sure,Yes,Good,Open drainage ,Both,Bars/viewing centres,Quiet
340,Yes,55,Female,Secondary,Tenant,Self-Employed,Comfortable,7,1,3,1,1,3,3,2,2,3,4,3,3,1,No,,Yes,Thrice,No,,No,,Never,No,Other,Handled it myself,4,1,1,4,3,2,3,NA,No,No,Alleyway,No,Yes,Fair,Open drainage ,None,None,Moderate
341,Yes,55,Female,Tertiary,Tenant,Self-Employed,Just getting by,19,1,1,1,1,1,2,1,5,4,5,4,4,5,No,,Yes,Once,No,,No,,Never,Yes,Police,,3,1,1,3,3,4,4,NA,No,Yes,Close,No,Mixed,Fair,Open drainage ,None,None,Quiet
342,Yes,25,Female,Tertiary,Tenant,Self-Employed,Comfortable,20,2,1,2,4,4,1,1,4,1,3,4,3,1,No,,Yes,Twice,No,,Yes,Once,Sometimes,Yes,"Police, Family/Friends",,1,1,2,3,3,3,4,NA,No,No,Residential Area,No,No,Poor,"Litter, Open drainage",None,None,Busy
343,Yes,55,Female,Secondary,Landlord,Self-Employed,Just getting by,15,1,1,1,1,1,2,2,5,4,5,4,4,1,No,,No,,No,,No,,Sometimes,,,,1,2,2,1,3,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,"Open drainage,Abandoned/ Uncompleted Building",None,Bus stop/motor park,Moderate
344,Yes,40,Female,Tertiary,Tenant,Employed,Comfortable,6,1,1,1,1,1,2,1,5,5,2,3,1,5,No,,No,,No,,No,,Never,,,,4,1,1,3,5,5,5,NA,No,Yes,Residential Area,No,Mixed,Fair,Open drainage ,None,Bus stop/motor park,Moderate
345,Yes,53,Female,Tertiary,Tenant,Self-Employed,Comfortable,18,1,2,1,1,1,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Never,,,,1,1,1,4,5,5,5,NA,Yes,Yes,Residential Area,Not sure,Mixed,Fair,Litter,None,Major market ,Quiet
